message,true_sentiment,vader_sentiment
maybe if we tell donald trump that climate change is coming from mexico he will actually try and stop it,pro,anti
"at a time when our planet is warming due to climate change, the last thing our environment needs is more drilling. ",pro,pro
new highlight features #originsclimatechange panelist noam chomsky on impact of climate change on future generations ,pro,pro
"climate change may be happening, but what % is caused by humans?",anti,neutral
africa is one of the most vulnerable regions to climate change but only accounts 2.3% of global co2 emissions.â€¦ ,pro,anti
#climatefact: the philippines is one of the nations most affected by climate change  ,pro,anti
read because he's from aei &amp; against the 'peril' of climate change. by the way they've all been proven wrong now,anti,anti
"fasten seatbelts: here's what it takes to limit global warming to 2 degrees, the paris climate agreement goal. ",pro,pro
with regards to climate change ,neutral,neutral
"what a surprise. #p2 #dems #gop 'trump to sack climate change scientists and slash epa budgets, says official'  ",pro,neutral
"the main goal is to protect species from over fishing and allow them to repopulate, not to protect them from global warming",neutral,pro
im howling at these global warming memes but for real im acctually worried about the environment ,pro,anti
"with all the icebergs melting from global warming, it's no wonder they had to shut down club penguin",neutral,anti
speaking of climate change-tonight is another killer episode of  ! 10/9c on  ,pro,anti
forget #climategate: this â€˜global warmingâ€™ scandal is much biggerâ€¦,anti,anti
awareness and understanding of climate change is the first step to make a difference. it must be a global effort. ,pro,neutral
qatar donates to #clinton foundation 2 increase opportunity for women and fight climate change. #comeydontplaythat ,neutral,pro
more on the opinion pages about climate change - ilona amos: more must be done to to fight climate change ,pro,anti
"a historic, worldwide pledge to combat global warming caps the paris climate summit.  ",pro,anti
watch how climate change is affecting nomads in somalia! ,pro,neutral
"trade center, right now, we need global warming! i’ve said if hillary clinton were running ‘the view’, i’d say ‘rosie, you’re",neutral,pro
how we know that climate change is happening—and that humans are causing it  ,pro,neutral
coral reefs: living and dying in an era of climate change  ,pro,neutral
hillary promise to frack her way out global warming. hrc $q$i want to defend fracking.$q$ climate change environmentalists shou…,pro,pro
"def for diesel engines is one of the biggest enviro, climate change, less emissions scams of our day. someone is making aâ€¦",neutral,anti
what happened to data that led to discovery of climate change?,pro,neutral
what are the causes of climate change? #nasa probably has most of the answers you're looking for. ,pro,neutral
im wearing shorts in february but snow exists so climate change isnt real,neutral,neutral
more than 90% of excess heat from global warming is stored in the oceans. an add'l 100+ zetajoules of energy have b…,pro,pro
icymi ramaphosa speaks of the â€˜real effects of climate changeâ€™ in davos  via,pro,neutral
gore left his failed bid in 2000 with very little money. he has made mucho $ since on his global warming hoax. ,anti,anti
"tackling climate change requires the power of connection &amp; collaboration rather than the exploitation of fear, divi…",pro,anti
me thinking about global warming: the human race is #fucked,pro,pro
she's thinking about how she's going to die because your husband doesn't believe in climate change ,pro,anti
why countries should salute with 3 fingers as they sign the paris agreement on climate change -- and why you should…,pro,pro
"morocco plants millions of trees along roads to fight climate change
 cc …",pro,anti
which is why trump was asking for list of scientists working on climate change for govt. ,pro,neutral
"one ut professor will travel to france to continue her research on climate change, thanks to a grant from french prâ€¦ ",pro,pro
department of the interior scrubs 'climate change' page ― #environment #impeachtrump  ,pro,neutral
soros’ puppet obama going to do exactly as he’s told: sign climate change treaty  via,anti,neutral
"trump picks epa critic, climate change denier, to head epa:   reports on #thelead",pro,anti
this is not a test. this is not a joke. this is not hyperbole. this is not speculation. if we don't reverse global warming: ex…,pro,anti
rt if you believe in climate change.  lmao.,pro,pro
"im constantly on the verge of a climate change rampage 
we are killing earth people wake up",pro,anti
"bret stephens approaching the facts of the nhs the same way he approaches the fact of climate change, i see. ",neutral,neutral
"h.e. fahad al hammadi discussing how the uae is currently tackling climate change on a local and global scale, and how the youtâ€¦",pro,neutral
'the pentagonã¢â‚¬â„¢s internal experts and external deliberations highlight how climate change changes everything' ,pro,pro
"#rio be like: hey republicans, #climatedeniers have no place at the olympic games. #rio2016 #openingceremony  ",pro,pro
#climatechange goes far beyond global warming &amp; its consequences. learn more about #unfao's #climateaction via…,pro,pro
"sure, climate change matters to us here on dry land but the oceans - they're so big, they'll be fine, right? our la…",pro,pro
"why #vegan in 2017? �� fight...
~ animal abuse
~ ignorance
~ climate change
~ deforestation
~ world hunger
~ diseases
~ antibiot…",pro,anti
bros climate change is s hoax and political.,anti,anti
#howstupidcanyouget “epa head falsely claims carbon emissions aren’t the cause of global warming” by  ,pro,neutral
"parent: i'd do anything for my children!

scientist: here's how to stave off climate change so your children can stay oã¢â‚¬â¦",pro,neutral
"we need someone that is going to take on climate change, not profit from the destruction of our environment, like my opâ€¦",pro,anti
"'if you believe in science and that we have to act on climate change, then you have to vote!' ã¢â‚¬â€hillary ",pro,neutral
"just to be clear, the president-elect of the united states of america  doesn't think that climate change iã¢â‚¬â¦",pro,pro
the paris accord had nothing to do with stopping 'climate change'. it was abo… ,anti,anti
"trump had no problem using global warming as excuse to get wall built around golf corse in ireland,",pro,anti
want to fight climate change? consider fighting gentrification first  ,pro,anti
physics doesnã¢â‚¬â„¢t really care who was elected: donald trump has said climate change is a chineseã¢â‚¬â¦ã¢â‚¬â¦ ,pro,pro
dear : pittsburgh believes in climate change and voted 80% for . find another scapegoat…,pro,pro
i do hope the graduating students will look at the climate change as a serious concern not only for indiaâ€¦,pro,pro
"for climate change censorship, and an endless amount of other reasons, we have to make this toxic mess a one-and-done a…",pro,anti
"that's not the way to spell 'climate change'
",anti,neutral
"so  closed re: climate change with  by saying, 'may the facts be with you.' as if he wasn't already in ner…",neutral,neutral
listened to yr interview on  &amp; how u think we need an â€˜honestâ€™ debate about climate change.â€¦ ,pro,neutral
"term 'global warming' was more controversial, among conservatives than 'climate change'. liberals didn't care. #sciwri16",neutral,anti
"you're an ass. coal is not the future, fossil fuels are nonrenewable/global warming is real. we were leaders in this. ass.",pro,anti
"hey girl, are you climate change?
because i'm going to ignore you until you fuck me.",neutral,anti
must read story of the day. #exxonknew about dangers of climate change in the 1980s &amp; lied to everyone ,pro,anti
iâ€™d argue that climate change denial and a career long hatred of the epa also distinguishes pruittâ€™s tenure but ok fineâ€¦,pro,anti
"���� 

the white house doubts climate change. here’s why the pentagon does not

 #climate…",pro,anti
"he trump, are you going to address the fact that hurricane maria proves global warming?",pro,pro
"327 toxic superfund sites in climate change, flooding bulls-eyes: â€œwe place the things that are most dangerous in sacrificeâ€¦",pro,anti
what's your plan for combatting climate change ? am i right ?,neutral,neutral
climate change diminishes food supply; so we produce more; which exacerbates climate change.  #fo…,pro,neutral
your mcm thinks global warming is a myth,neutral,pro
"global warming is real, human caused, and already putting lives in danger.",pro,anti
case for climate change grows ever stronger  via,pro,pro
hrc proposes installing half a billion solar panels by the end of her first term. trump thinks climate change is a hoaxã¢â‚¬â¦,pro,neutral
global warming nyc ,neutral,pro
the tactics of creationism and climate change denial.,pro,pro
not global warming crap that's just normal always have been since i could remember,anti,pro
six flags ticker symbol  #global warming simple essay,neutral,pro
emissions reductions can no longer prevent dangerous climate change.'  #climatechange,pro,anti
"watch #beforetheflood right here, as  travels the world to tackle climate change  httã¢â‚¬â¦",pro,neutral
"guardianeco: we can fix climate change, but only if we refuse to abandon hope | zoe williams ",pro,anti
these stunning timelapse photos may just convince you about climate change. ,pro,pro
do you know that how #climate change can effect your surroundings ? ,neutral,neutral
global warming isn't real,anti,pro
using his oscar speech to get his message out about climate change ,pro,neutral
millennials will lose $8.8 trillion in lifetime income because of climate change. we cannot afford to do nothing.,pro,anti
"reaching out in ne fife â€“ drought risk, climate change, agriculture and you!
talking about drought, climate change and farmiâ€¦",pro,anti
"an old cartoon of mine, but just as relevant today, as climate change denier scott pruitt works to subvert the core…",pro,anti
the next thing yall gonna start blaming us for is global warming ,neutral,anti
death of coral reefs due to #climate change could be devastating for humans too  via,pro,anti
the earth is flat and climate change is not real and does not matter.,neutral,anti
good to see al gore back with a sequel to put climate change back on the agenda. do the world a favour and rt ,pro,pro
does trump even know that his climate change rhetoric is nonsense? ,pro,anti
more than six in ten trump voters support taxing and/or regulating #climate change-causing pollution… ,neutral,pro
"ever had a tough conversation with a loved one about issues like climate change, vaccinations, and gmos?  is here toâ€¦",pro,pro
"just a reminder as you step out the door this morning that global warming is still real, regardless of, well, this. ",pro,pro
this is the climate change crisis of public (read: global) health. aka people aren't freaking out nearly enough. ,pro,anti
"be careful, ben. if you keep using words like anthropogenic climate change, you're going to confuse the global warming trutâ€¦",neutral,pro
earthquakes are not caused by or related to climate change. ,anti,neutral
global warming is the biggest crock of shit ever uttered a scam for control and $$,anti,anti
"indeed, food security is proving to be a challenge across the globe due to climate change  …",pro,pro
"yes, science indicates hurricanes can be made stronger by climate change. yes, the  should #actonclimate…",pro,pro
there is no global warming says the founder of the weather channel ,anti,anti
